date,option_name,underlying_name,close,fclose,strike,expiry,iv,option_type,timeframe
2025-11-12 10:00:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,442.0000,26129.9000,26050,2025-12-02 15:15:00,16.4620,c,1
2025-11-12 10:01:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,442.0000,26120.0000,26050,2025-12-02 15:15:00,16.6800,c,1
2025-11-12 10:02:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,442.0000,26125.7000,26050,2025-12-02 15:15:00,16.5552,c,1
2025-11-12 10:03:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,442.0000,26114.4000,26050,2025-12-02 15:15:00,16.8030,c,1
2025-11-12 10:04:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,442.0000,26112.0000,26050,2025-12-02 15:15:00,16.8555,c,1
2025-11-12 10:05:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,437.0000,26115.0000,26050,2025-12-02 15:15:00,16.5847,c,1
2025-11-12 10:06:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,437.0000,26120.2000,26050,2025-12-02 15:15:00,16.4712,c,1
2025-11-12 10:07:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,437.0000,26116.2000,26050,2025-12-02 15:15:00,16.5591,c,1
2025-11-12 10:08:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,437.0000,26119.0000,26050,2025-12-02 15:15:00,16.4981,c,1
2025-11-12 10:09:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,433.5500,26108.6000,26050,2025-12-02 15:15:00,16.5832,c,1
2025-11-12 10:10:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,434.0000,26119.9000,26050,2025-12-02 15:15:00,16.3554,c,1
2025-11-12 10:11:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,434.0000,26119.0000,26050,2025-12-02 15:15:00,16.3754,c,1
2025-11-12 10:12:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,434.0000,26121.0000,26050,2025-12-02 15:15:00,16.3319,c,1
2025-11-12 10:13:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,434.0000,26112.0000,26050,2025-12-02 15:15:00,16.5289,c,1
2025-11-12 10:14:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,434.0000,26119.1000,26050,2025-12-02 15:15:00,16.3741,c,1
2025-11-12 10:15:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,436.0000,26119.3000,26050,2025-12-02 15:15:00,16.4523,c,1
2025-11-12 10:16:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,436.0000,26128.9000,26050,2025-12-02 15:15:00,16.2414,c,1
2025-11-12 10:17:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,436.0000,26124.8000,26050,2025-12-02 15:15:00,16.3321,c,1
2025-11-12 10:18:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,436.0000,26104.7000,26050,2025-12-02 15:15:00,16.7711,c,1
2025-11-12 10:19:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,436.0000,26110.0000,26050,2025-12-02 15:15:00,16.6564,c,1
2025-11-12 10:20:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,436.0000,26113.5000,26050,2025-12-02 15:15:00,16.5805,c,1
2025-11-12 10:21:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,436.0000,26108.4000,26050,2025-12-02 15:15:00,16.6917,c,1
2025-11-12 10:22:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,436.0000,26109.0000,26050,2025-12-02 15:15:00,16.6790,c,1
2025-11-12 10:23:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,436.0000,26115.0000,26050,2025-12-02 15:15:00,16.5486,c,1
2025-11-12 10:24:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,436.0000,26109.5000,26050,2025-12-02 15:15:00,16.6687,c,1
2025-11-12 10:25:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,436.0000,26115.5000,26050,2025-12-02 15:15:00,16.5382,c,1
2025-11-12 10:26:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,436.0000,26111.3000,26050,2025-12-02 15:15:00,16.6301,c,1
2025-11-12 10:27:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,436.0000,26107.6000,26050,2025-12-02 15:15:00,16.7108,c,1
2025-11-12 10:28:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,436.0000,26111.0000,26050,2025-12-02 15:15:00,16.6372,c,1
2025-11-12 10:29:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,436.0000,26118.0000,26050,2025-12-02 15:15:00,16.4847,c,1
2025-11-12 10:30:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,436.0000,26119.5000,26050,2025-12-02 15:15:00,16.4521,c,1
2025-11-12 10:31:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,436.0000,26112.3000,26050,2025-12-02 15:15:00,16.6097,c,1
2025-11-12 10:32:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,436.0000,26120.0000,26050,2025-12-02 15:15:00,16.4417,c,1
2025-11-12 10:33:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,436.0000,26123.5000,26050,2025-12-02 15:15:00,16.3651,c,1
2025-11-12 10:34:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,436.0000,26135.1000,26050,2025-12-02 15:15:00,16.1090,c,1
2025-11-12 10:35:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,440.3000,26127.0000,26050,2025-12-02 15:15:00,16.4658,c,1
2025-11-12 10:36:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,440.3000,26135.0000,26050,2025-12-02 15:15:00,16.2891,c,1
2025-11-12 10:37:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,440.3000,26139.0000,26050,2025-12-02 15:15:00,16.2004,c,1
2025-11-12 10:38:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,440.3000,26143.4000,26050,2025-12-02 15:15:00,16.1024,c,1
2025-11-12 10:39:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,440.3000,26140.7000,26050,2025-12-02 15:15:00,16.1630,c,1
2025-11-12 10:40:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,440.3000,26150.2000,26050,2025-12-02 15:15:00,15.9504,c,1
2025-11-12 10:41:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,454.5500,26147.0000,26050,2025-12-02 15:15:00,16.6106,c,1
2025-11-12 10:42:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,455.0000,26152.0000,26050,2025-12-02 15:15:00,16.5173,c,1
2025-11-12 10:43:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,455.0000,26152.0000,26050,2025-12-02 15:15:00,16.5176,c,1
2025-11-12 10:44:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,455.0000,26150.0000,26050,2025-12-02 15:15:00,16.5628,c,1
2025-11-12 10:45:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,452.9500,26151.7000,26050,2025-12-02 15:15:00,16.4403,c,1
2025-11-12 10:46:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,452.9500,26145.0000,26050,2025-12-02 15:15:00,16.5908,c,1
2025-11-12 10:47:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,452.9500,26150.3000,26050,2025-12-02 15:15:00,16.4723,c,1
